"Work Item Type","Title","State","Area Path","Iteration Path","Priority","Story Points","Description","Acceptance Criteria","Tags","Parent Title (referencia)"
"Epic","KuraVet - Plataforma de Cuidado Continuo Pet","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Plataforma multi-camada para gestao do cuidado continuo de pets (prontuario, vacinacao, consultas e planos de acompanhamento), com backend de dados em Oracle, infraestrutura em nuvem, servicos distribuidos (.NET e Java) e app mobile para tutores.","","KuraVet",""
"Feature","Camada de Dados (Oracle)","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Nucleo relacional do dominio KuraVet, incluindo logica de negocio em PL/SQL e auditoria.","","KuraVet","KuraVet - Plataforma de Cuidado Continuo Pet"
"Feature","Infraestrutura Azure (DevOps/Cloud)","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Provisionamento via Azure CLI e primeira carga funcional em nuvem.","","KuraVet","KuraVet - Plataforma de Cuidado Continuo Pet"
"Feature","Microsservico .NET (Observabilidade e Qualidade)","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Servico isolado com health check, logs estruturados e metricas.","","KuraVet","KuraVet - Plataforma de Cuidado Continuo Pet"
"Feature","Monolito Java (Spring Boot)","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Modulo administrativo com views Thymeleaf, seguranca por perfis e API JSON para mobile.","","KuraVet","KuraVet - Plataforma de Cuidado Continuo Pet"
"Feature","App Mobile (React Native)","New","KuraVet","KuraVet\Release 1\Sprint 3","","","Navegacao real, integracao de API e autenticacao desacoplada via Firebase.","","KuraVet","KuraVet - Plataforma de Cuidado Continuo Pet"
"Product Backlog Item","PBI 1.1 - Modelagem e Script Core do Banco de Dados","New","KuraVet","KuraVet\Release 1\Sprint 3","1","8","Criar script_bd.sql com o modelo relacional core do KuraVet (tutores, pets, especies/racas, prontuarios, consultas, vacinas, planos de cuidado continuo), com constraints, sequences e massa de dados.","Script cria todas as tabelas sem erro em schema limpo; 5 registros por tabela com integridade referencial; nomenclatura padronizada (tb_/pk_/fk_/ck_); script idempotente.","KuraVet;Dados;Oracle","Camada de Dados (Oracle)"
"Task","T1.1.1 - Modelagem logica e DDL das tabelas core","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Modelagem logica e criacao do DDL das tabelas core.","Dependencias: -","KuraVet;Dados","PBI 1.1 - Modelagem e Script Core do Banco de Dados"
"Task","T1.1.2 - Constraints (PK/FK/CHECK) e sequences","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Implementacao de constraints e sequences.","Dependencias: T1.1.1","KuraVet;Dados","PBI 1.1 - Modelagem e Script Core do Banco de Dados"
"Task","T1.1.3 - INSERTs com 5 registros por tabela","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Scripts de insercao de massa de teste consistente.","Dependencias: T1.1.2","KuraVet;Dados","PBI 1.1 - Modelagem e Script Core do Banco de Dados"
"Task","T1.1.4 - Validacao de execucao idempotente","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Teste de reexecucao do script_bd.sql sem falhas.","Dependencias: T1.1.3","KuraVet;Dados","PBI 1.1 - Modelagem e Script Core do Banco de Dados"
"Product Backlog Item","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)","New","KuraVet","KuraVet\Release 1\Sprint 3","1","13","Implementar 2 procedures manuais (uma com JOIN retornando JSON; outra com subtotais sem ROLLUP/CUBE) e 2 functions (uma com montagem manual de JSON, sem conversao nativa; outra com regra de negocio de status de cuidado continuo).","PRC_PET_PRONTUARIO_JSON com JOIN retornando JSON valido; PRC_SUBTOTAL_CONSULTAS_POR_PET sem ROLLUP/CUBE; FN_TO_JSON_MANUAL sem funcao nativa de conversao JSON; FN_CALC_STATUS_CUIDADO com regra de negocio; cada bloco trata no minimo 3 EXCEPTION WHEN.","KuraVet;Dados;Oracle;PLSQL","Camada de Dados (Oracle)"
"Task","T1.2.1 - Procedure PRC_PET_PRONTUARIO_JSON","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Procedure com JOIN retornando JSON.","Dependencias: PBI 1.1","KuraVet;Dados","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)"
"Task","T1.2.2 - Procedure PRC_SUBTOTAL_CONSULTAS_POR_PET","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Subtotais manuais sem ROLLUP/CUBE.","Dependencias: PBI 1.1","KuraVet;Dados","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)"
"Task","T1.2.3 - Function FN_TO_JSON_MANUAL","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Montagem manual de JSON via concatenacao.","Dependencias: T1.2.1","KuraVet;Dados","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)"
"Task","T1.2.4 - Function FN_CALC_STATUS_CUIDADO","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Regra de negocio de status do plano de cuidado.","Dependencias: PBI 1.1","KuraVet;Dados","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)"
"Task","T1.2.5 - Tratamento de excecoes e testes manuais","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","3 EXCEPTION WHEN por bloco; testes manuais.","Dependencias: T1.2.1-T1.2.4","KuraVet;Dados","PBI 1.2 - Procedures e Functions de Negocio (PL/SQL)"
"Product Backlog Item","PBI 1.3 - Trigger de Auditoria","New","KuraVet","KuraVet\Release 1\Sprint 3","2","5","Trigger de auditoria capturando alteracoes via :OLD e :NEW em tabela critica, persistindo em log de auditoria.","Dispara em INSERT/UPDATE/DELETE; registro contem :OLD, :NEW, usuario, timestamp e operacao; tabela de auditoria propria; trata no minimo 3 EXCEPTION WHEN; testes de rastreabilidade.","KuraVet;Dados;Compliance","Camada de Dados (Oracle)"
"Task","T1.3.1 - Criar tabela tb_auditoria_log","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Criacao da tabela de log de auditoria.","Dependencias: PBI 1.1","KuraVet;Dados","PBI 1.3 - Trigger de Auditoria"
"Task","T1.3.2 - Implementar TRG_AUD_PRONTUARIO","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Trigger com :OLD/:NEW para INSERT/UPDATE/DELETE.","Dependencias: T1.3.1","KuraVet;Dados","PBI 1.3 - Trigger de Auditoria"
"Task","T1.3.3 - Tratamento de excecoes no trigger","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","3 EXCEPTION WHEN no trigger.","Dependencias: T1.3.2","KuraVet;Dados","PBI 1.3 - Trigger de Auditoria"
"Task","T1.3.4 - Testes de rastreabilidade e compliance","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Evidencias de rastreabilidade das alteracoes.","Dependencias: T1.3.3","KuraVet;Dados","PBI 1.3 - Trigger de Auditoria"
"Product Backlog Item","PBI 2.1 - Provisionamento via Azure CLI","New","KuraVet","KuraVet\Release 1\Sprint 3","1","8","Provisionar toda infraestrutura (Resource Group, ACR, ACI ou PaaS, Key Vault, Log Analytics) exclusivamente via Azure CLI, com arquitetura 100% conteinerizada (ACR+ACI non-root) ou 100% PaaS.","Recursos criados via az CLI versionado; decisao arquitetural documentada e consistente; imagem non-root validada (se conteinerizado); scripts idempotentes; segredos protegidos (Key Vault).","KuraVet;Cloud;Azure","Infraestrutura Azure (DevOps/Cloud)"
"Task","T2.1.1 - Script AZ CLI - Resource Group e ACR","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Criacao de Resource Group e ACR via az CLI.","Dependencias: -","KuraVet;Cloud","PBI 2.1 - Provisionamento via Azure CLI"
"Task","T2.1.2 - Build e push de imagem non-root","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Build e push de imagem non-root para o ACR.","Dependencias: T2.1.1","KuraVet;Cloud","PBI 2.1 - Provisionamento via Azure CLI"
"Task","T2.1.3 - Provisionamento de ACI ou PaaS","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Provisionamento via az CLI do recurso de execucao.","Dependencias: T2.1.2","KuraVet;Cloud","PBI 2.1 - Provisionamento via Azure CLI"
"Task","T2.1.4 - Key Vault e Log Analytics","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Configuracao de segredos e observabilidade de infra.","Dependencias: T2.1.1","KuraVet;Cloud","PBI 2.1 - Provisionamento via Azure CLI"
"Task","T2.1.5 - Validacao non-root e documentacao","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Validacao de execucao non-root e documentacao do provisionamento.","Dependencias: T2.1.3;T2.1.4","KuraVet;Cloud","PBI 2.1 - Provisionamento via Azure CLI"
"Product Backlog Item","PBI 2.2 - CRUD Funcional na Nuvem","New","KuraVet","KuraVet\Release 1\Sprint 3","2","8","Implementar CRUD funcional na nuvem para duas tabelas do dominio (ex.: Pet e Consulta).","CRUD completo testavel via HTTP real no ambiente Azure; persistencia sobrevive a reinicios; sem privilegios administrativos/root expostos.","KuraVet;Cloud;Azure","Infraestrutura Azure (DevOps/Cloud)"
"Task","T2.2.1 - Definicao dos endpoints CRUD","New","KuraVet","KuraVet\Release 1\Sprint 3","","1","Definicao dos endpoints para Pet e Consulta.","Dependencias: PBI 2.1","KuraVet;Cloud","PBI 2.2 - CRUD Funcional na Nuvem"
"Task","T2.2.2 - Implementacao do CRUD e conexao com banco cloud","New","KuraVet","KuraVet\Release 1\Sprint 3","","3","Implementacao funcional do CRUD.","Dependencias: T2.2.1","KuraVet;Cloud","PBI 2.2 - CRUD Funcional na Nuvem"
"Task","T2.2.3 - Deploy do CRUD no recurso provisionado","New","KuraVet","KuraVet\Release 1\Sprint 3","","2","Deploy no ACI/PaaS provisionado.","Dependencias: T2.2.2","KuraVet;Cloud","PBI 2.2 - CRUD Funcional na Nuvem"
